LexFound,IsHS,HS Comment,NO HS,
ကုလားတွေ,0,,1,
ဖွတ်သူခိုး,0,,1,
အောက်တန်းကျ,0,,1,
ဖွတ်,0,,1,
မြို့သား,0,,1,
မြို့သား,0,,1,
အောက်တန်းကျ,0,,1,
မြို့သား,0,,1,
ဖွတ်,0,,1,
ဝူဟန်,0,,1,
ဝူဟန်တရုတ်,0,,1,
ဝူဟန်,0,,1,
နီပေါ,0,,1,
မြို့သား,0,,1,
မြို့သား,0,,1,
ဝူဟန်,0,,1,
ဝူဟန်,0,,1,
မြို့သား,0,,1,
မြို့သား,0,,1,
ဝူဟန်,0,,1,
မြို့သား,0,,1,
ခွေးသား,0,,1,
မြို့သား,0,,1,
ရွာသား,0,,1,
မြို့သား,0,,1,
မြို့သား,0,,1,
စစ်ခွေး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
သူပုန်,0,,1,
ဖင်ယား,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ငလူး,0,,1,
သူခိုး,0,,1,
ဖွတ်သူခိုး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
တောသား,0,,1,
ဖွတ်,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
ကြံ့ဖွတ်,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
ဖွတ်,0,,1,
စစ်ခွေး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
အောက်တန်းကျ,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
တောသား,0,,1,
တောသား,0,,1,
တောသား,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
မွတ်ကုလား,0,,1,
မွတ်ကုလား,0,,1,
မွတ်ကုလား,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖင်ယား,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ကြံ့ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
အောက်တန်းကြ,0,,1,
ကုလားတွေ,0,,1,
ဖွတ်သူခိုး,0,,1,
ဖွတ်သူခိုး,0,,1,
အောက်တန်းကျ,0,,1,
ဖွတ်,0,,1,
အကြမ်းဖက်,0,,1,
အမျိုးယုတ်,0,,1,
ခွေးသား,0,,1,
ဖင်ယား,0,,1,
အစွန်းရောက်,0,,1,
ကုလားတွေ,1,,0,
သူခိုး,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
ခွေးသား,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
အောက်တန်းကျ,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
ခွေးသား,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်သူခိုး,0,,1,
ခွေးသား,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖင်ယား,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
မွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
အမျိုးယုတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
စစ်ခွေး,0,,1,
အောက်တန်းစား,0,,1,
သူခိုး,0,,1,
စစ်ခွေး,0,,1,
ခွေးသား,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
စစ်ခွေး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
အောက်တန်းကျ,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ကုလားတွေ,0,,1,
ဖွတ်,0,,1,
ထောင်ထွက်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ခွေးဝဲစား,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ခွေးသား,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
စစ်ခွေး,0,,1,
စစ်ခွေး,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
နီပေါ,0,,1,
အကြမ်းဖက်,0,,1,
ခွေးသား,0,,1,
သူခိုး,0,,1,
ကြံ့ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
မွတ်,0,,1,
ခွေးသား,0,,1,
ခွေးသား,0,,1,
သူပုန်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
မွတ်,0,,1,
တောသား,0,,1,
စစ်အာဏာရှင်,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်သူခိုး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ခွေးသား,0,,1,
သူခိုး,0,,1,
အောက်တန်းကျ,0,,1,
ဖွတ်,0,,1,
စစ်အာဏာရှင်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
အစွန်းရောက်,0,,1,
ဖွတ်,0,,1,
အောက်တန်းစား,0,,1,
ခွေးသား,0,,1,
သူခိုး,0,,1,
ဘင်္ဂါလီ,0,,1,
ဖွတ်သူခိုး,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
အမျိုးယုတ်,0,,1,
သူခိုး,0,,1,
အမျိုးယုတ်,0,,1,
အကြမ်းဖက်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
စစ်အာဏာရှင်,0,,1,
သူခိုး,0,,1,
ကြံ့ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
ကြံ့ဖွတ်,0,,1,
ဖွတ်,0,,1,
အပြုတ်တိုက်,0,,1,
မွတ်,0,,1,
သူပုန်,0,,1,
တောသား,0,,1,
အစွန်းရောက်,0,,1,
ဖွတ်,0,,1,
ရွာသား,0,,1,
ရွာသား,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ခွေးဝဲစား,0,,1,
ဖွတ်,0,,1,
ငလူး,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ကြံ့ဖွတ်,0,,1,
သူခိုး,0,,1,
ကြံ့ဖွတ်,0,,1,
ရွာသား,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
ဖွတ်,0,,1,
သူခိုး,0,,1,
နီပေါ,0,,1,
ခွေးဝဲစား,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,0,0,1,
သူခိုး,0,0,1,
စစ်ခွေး,1,1,0,
ဖွတ်,0,0,1,
စစ်ခွေး,1,1,0,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ခွေးဝဲစား,0,0,1,
စစ်အာဏာရှင်,0,0,1,
အောက်တန်းကျ,0,0,1,
ဖွတ်,1,1,0,
သူခိုး,0,0,1,
အပြုတ်တိုက်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
သူခိုး,1,1,0,
ဖွတ်,1,1,0,
ခွေးသား,0,0,1,
သူခိုး,0,0,1,
ဖွတ်,0,0,1,
သူခိုး,0,0,1,
စစ်ခွေး,1,1,0,
ဖွတ်,1,1,0,
စစ်ခွေး,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,0,0,1,
စစ်အာဏာရှင်,0,0,1,
ခွေးသား,0,0,1,
ဖင်ယား,0,0,1,
ဖွတ်,1,1,0,
သူခိုး,0,0,1,
ဖွတ်,0,0,1,
သူခိုး,0,0,1,
အောက်တန်းကျ,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
သူခိုး,0,0,1,
ခွေးသား,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
ဖွတ်,1,1,0,
စစ်ခွေး,1,1,0,
ဖွတ်,1,1,0,
သူခိုး,1,1,0,
အောက်တန်းစား,0,0,1,
သူခိုး,0,0,1,
စစ်ခွေး,1,1,0,
စစ်ခွေး,1,1,0,
စစ်ခွေး,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,0,0,1,
ဖွတ်,1,1,0,
သူခိုး,0,0,1,
တောသား,0,0,1,
သူခိုး,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
မြေသြဇာ,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
ကြံ့ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,1,1,0,
ဖွတ်,0,0,1,
အောက်တန်းစား,0,0,1,
တောသား,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,1,1,0,
ကြံ့ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
သူခိုး,0,0,1,
ကြံ့ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,1,1,0,
သူခိုး,0,0,1,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ထောင်ထွက်,0,0,1,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
သူခိုး,0,0,1,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
သူခိုး,1,1,0,
ဖွတ်,1,1,0,
သူခိုး,0,0,1,
အစွန်းရောက်,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
ဖွတ်,0,0,1,
ခွေးသား,0,0,1,
ခွေးသား,0,0,1,
သူခိုး,0,0,1,
ဖွတ်,0,0,1,
စစ်ခွေး,0,0,1,
သူခိုး,0,0,1,
ရွာသား,0,0,1,
သူခိုး,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,1,1,0,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
ဖွတ်,0,0,1,
ခွေးဝဲစား,0,0,1,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ခွေးသား,0,0,1,
ခွေးသား,0,0,1,
တောသား,0,0,1,
အမျိုးယုတ်,0,0,1,
ဖွတ်,0,0,1,
ဖင်ယား,0,0,1,
သူခိုး,0,0,1,
ဖွတ်,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
အောက်တန်းကျ,0,0,1,
ဖွတ်,0,0,1,
နီပေါ,1,1,0,
ဖွတ်,0,0,1,
အောက်တန်းကျ,0,0,1,
ဖွတ်,1,1,0,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
ဝူဟန်,0,0,1,
မြို့သား,0,0,1,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ထမီခြုံ,0,0,1,
ဖွတ်,1,1,0,
ဖွတ်သူခိုး,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ခွေးသား,0,0,1,
အမျိုးယုတ်,0,0,1,
ဖွတ်,1,1,0,
သူခိုး,1,1,0,
ကြံ့ဖွတ်,1,1,0,
အမျိုးယုတ်,1,1,0,
ကုလားတွေ,1,1,0,
ခွေးဝဲစား,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,1,1,0,
ဖွတ်သူခိုး,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်သူခိုး,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
သူခိုး,1,1,0,
ဝူဟန်,0,0,1,
ဝူဟန်,0,0,1,
အကြမ်းဖက်,0,0,1,
မြို့သား,0,0,1,
ဝူဟန်,0,0,1,
တောသား,0,0,1,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
အစွန်းရောက်,0,0,1,
အကြမ်းဖက်,0,0,1,
မြို့သား,0,0,1,
နီပေါ,1,1,0,
ဖွတ်,1,1,0,
ဝူဟန်,0,0,1,
ဝူဟန်,0,0,1,
ဝူဟန်,0,0,1,
ဝူဟန်,0,0,1,
ဝူဟန်,0,0,1,
ခွေးတရုတ်,1,1,0,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
သူပုန်,0,0,1,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
တောသား,0,0,1,
မြို့သား,0,0,1,
တောသား,0,0,1,
သူပုန်,0,0,1,
ခွေးတရုတ်,0,0,1,
ဘင်္ဂါလီ,1,1,0,
ထောင်ထွက်,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
ခွေးသား,0,0,1,
အစွန်းရောက်,0,0,1,
ခွေးသား,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
ဝူဟန်,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
အကြမ်းဖက်,0,0,1,
အစွန်းရောက်,0,0,1,
မူဆလင်,0,0,1,
အစွန်းရောက်,0,0,1,
သူခိုး,0,0,1,
အကြမ်းဖက်,0,0,1,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
ဝူဟန်,0,0,1,
အစွန်းရောက်,0,0,1,
မူဆလင်,0,0,1,
အစွန်းရောက်,0,0,1,
သူခိုး,0,0,1,
အစွန်းရောက်,0,0,1,
ဝူဟန်,0,0,1,
ဝူဟန်,0,0,1,
သူခိုး,0,0,1,
အမျိုးယုတ်,0,0,1,
ကုလားတွေ,0,0,1,
စောက်တရုတ်,0,0,1,
ဝူဟန်,0,0,1,
ဝူဟန်,0,0,1,
သူခိုး,0,0,1,
ရွာသား,0,0,1,
စစ်ခွေး,1,1,0,
ခွေးတရုတ်,0,0,1,
ခွေးတရုတ်,0,0,1,
ခွေးဝဲစား,0,0,1,
ဘင်္ဂါလီ,0,0,1,
မြို့သား,0,0,1,
တောသား,0,0,1,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
တောသား,0,0,1,
တောသား,0,0,1,
မြို့သား,0,0,1,
စစ်ခွေး,0,0,1,
မြို့သား,0,0,1,
ဝူဟန်,0,0,1,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
မြို့သား,0,0,1,
ဝူဟန်,0,0,1,
မြို့သား,0,0,1,
ငလူး,0,0,1,
သူပုန်,0,0,1,
ရွာသား,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
ခွေးသား,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
ဝူဟန်,0,0,1,
ဖင်ယား,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
ဖင်ယား,0,0,1,
အစွန်းရောက်,0,0,1,
ထောင်ထွက်,0,0,1,
ထောင်ထွက်,0,0,1,
သူပုန်,0,0,1,
ဝူဟန်,0,0,1,
ဘင်္ဂါလီ,0,0,1,
ဗမာတွေ,0,0,1,
စစ်အာဏာရှင်,0,0,1,
ဗမာတွေ,0,0,1,
မြို့သား,0,0,1,
အကြမ်းဖက်,0,0,1,
အကြမ်းဖက်,0,0,1,
ဝူဟန်,1,1,0,
စောက်တရုတ်,0,0,1,
မွတ်,0,0,1,
ခွေးသား,0,0,1,
အစွန်းရောက်,1,1,0,
ဝူဟန်,0,0,1,
ဝူဟန်,0,0,1,
အစွန်းရောက်,0,0,1,
ဝူဟန်,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
မွတ်,1,1,0,
ကြံ့ဖွတ်,1,1,0,
တောသား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ခွေးသား,0,0,1,
ဖင်ယား,0,0,1,
ဖွတ်,0,0,1,
ခွေးသား,0,0,1,
တောသား,0,0,1,
ခွေးသား,0,0,1,
စစ်ခွေး,0,0,1,
ဖွတ်,0,0,1,
ဖင်ယား,0,0,1,
တောသား,0,0,1,
အစွန်းရောက်,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ခွေးသား,0,0,1,
ဖင်ယား,0,0,1,
တောသား,0,0,1,
တောသား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
မွတ်ကုလား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ကုလားတွေ,0,0,1,
ထမီခြုံ,0,0,1,
စစ်ခွေး,0,0,1,
ကုလားတွေ,0,0,1,
ထမီခြုံ,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဘင်ဂါလီ,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ငှက်နီ,0,0,1,
အမျိုးယုတ်,0,0,1,
ဖင်ယား,0,0,1,
မူဆလင်,1,1,0,
နီပေါ,1,1,0,
မွတ်,0,0,1,
ခွေးသား,0,0,1,
ဖင်ယား,0,0,1,
တောသား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ခွေးသား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ငလူး,0,0,1,
ခွေးသား,0,0,1,
ခွေးသား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
သူခိုး,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
နီပိန်း,1,1,0,
ခွေးသား,0,0,1,
ဖင်ယား,0,0,1,
နီပေါ,1,1,0,
ထမီခြုံ,0,0,1,
ထမီခြုံ,0,0,1,
ဖင်ယား,0,0,1,
အစွန်းရောက်,0,0,1,
နီပေါ,0,0,1,
အောက်တန်းစား,0,0,1,
၇၈၆,0,0,1,
ခွေးသား,0,0,1,
မွတ်,1,1,0,
နီပေါ,0,0,1,
ထမီခြုံ,0,0,1,
ကြံ့ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
သူခိုး,0,0,1,
အစွန်းရောက်,0,0,1,
ဖွတ်,0,0,1,
နီပေါ,0,0,1,
ဖွတ်,0,0,1,
ထမီခြုံ,0,0,1,
ကြံ့ဖွတ်,1,1,0,
ဖွတ်,1,1,0,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
တောသား,0,0,1,
မွတ်,0,0,1,
မွတ်,1,1,0,
မွတ်,1,1,0,
နီပိန်း,0,0,1,
ဖွတ်,0,0,1,
နီပေါ,0,0,1,
သူခိုး,0,0,1,
အောက်တန်းစား,0,0,1,
ထမီခြုံ,1,1,0,
မွတ်,0,0,1,
စစ်ခွေး,1,1,0,
ဖွတ်,0,0,1,
သူပုန်,0,0,1,
ဖွတ်,0,0,1,
အစွန်းရောက်,0,0,1,
သူခိုး,0,0,1,
တောသား,0,0,1,
သူပုန်,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
ခွေးသား,0,0,1,
ခွေးဝဲစား,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
ဖွတ်သူခိုး,0,0,1,
ဖင်ယား,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
သူခိုး,0,0,1,
ဖင်ယား,0,0,1,
တောသား,0,0,1,
သူခိုး,0,0,1,
ကြံ့ဖွတ်,1,1,0,
နီပေါ,0,0,1,
အစွန်းရောက်,0,0,1,
ခွေးသား,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
သူခိုး,0,0,1,
နီပိန်း,0,0,1,
တောသား,0,0,1,
အောက်တန်းကျ,0,0,1,
စစ်ခွေး,0,0,1,
ခွေးသား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
အစွန်းရောက်,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
အစွန်းရောက်,0,0,1,
အစွန်းရောက်,0,0,1,
ဖွတ်,0,0,1,
ဖင်ယား,0,0,1,
ခွေးသား,0,0,1,
တောသား,0,0,1,
အစွန်းရောက်,0,0,1,
ဖင်ယား,0,0,1,
မူဆလင်,1,1,0,
ဖင်ယား,0,0,1,
တောသား,0,0,1,
တောသား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ခွေးသား,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖင်ယား,0,0,1,
တောသား,0,0,1,
ဖင်ယား,0,0,1,
သူပုန်,1,1,0,
ဖင်ယား,0,0,1,
ဖွတ်,0,0,1,
ခွေးသား,0,0,1,
စစ်ခွေး,0,0,1,
အောက်တန်းစား,0,0,1,
တောသား,0,0,1,
တောသား,0,0,1,
နီပေါ,0,0,1,
ဖွတ်,0,0,1,
ဒေါ်လာစား,0,0,1,
ဖင်ယား,0,0,1,
ဖွတ်,0,0,1,
ဖွတ်,0,0,1,
ဖင်ယား,0,0,1,
ထမီခြုံ,0,0,1,
ဖင်ယား,0,0,1,
ခွေးသား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
ဖင်ယား,0,0,1,
အကြမ်းဖက်,0,0,1,
ခွေးသား,0,0,1,
တောသား,0,0,1,
တောသား,0,0,1,
တောသား,0,0,1,
ဖင်ယား,1,1,0,
အစွန်းရောက်,1,1,0,
သူခိုး,0,0,1,
အမျိုးယုတ်,0,0,1,
ရွာသား,0,0,1,
သူပုန်,0,0,1,
ခွေးသား,0,0,1,
အစွန်းရောက်,0,0,1,
